Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Gives_Dividends
NOC,Northrop Grumman Corp.,Industrials,5.783855951087143,3.2347491740244907,1.3030859,11.47,231.98,349.18,24.797108564667937,22.080131387632957,1.1661388411902243,2.192770226986839,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NOC,Yes
NCLH,Norwegian Cruise Line,Consumer Discretionary,4.043226691043491,2.7942278973432626,0.0,2.78,46.96,61.48,23.302839074553596,21.148141993079218,1.4366571927612086,1.208960345836975,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NCLH,No
NRG,NRG Energy,Utilities,3.2188758248682006,2.932792473780117,1.4195584,-2.23,14.52,29.78,22.806454851071855,21.2965027213975,0.6897926102753511,2.0451088625993306,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NRG,Yes
NUE,Nucor Corp.,Materials,4.1170840491915905,2.8909271591878647,2.415766,4.1,51.67,70.48,23.719163953197743,21.697345739624843,0.6923347656402943,1.205970806988609,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NUE,Yes
NVDA,Nvidia Corporation,Information Technology,5.386877543527517,4.419803999007912,0.26223776,2.57,95.17,249.27,25.655238803546442,21.854022579263876,3.0490025773698863,3.062923523094314,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NVDA,Yes
ORLY,O'Reilly Automotive,Consumer Discretionary,5.534258676092107,3.1315734964654043,0.0,10.73,169.43,279.23,23.788234105943662,21.398853243642957,1.4335194678923213,3.558770768766916,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ORLY,No
OMC,Omnicom Group,Consumer Discretionary,4.342635907068963,2.7893229212309465,3.1838684,4.79,65.32,86.71,23.578445094561545,21.58446660292526,0.9292920867845926,2.0360119837525,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OMC,Yes
OKE,ONEOK,Energy,4.014579593753238,3.5553480614894135,5.4436197,1.66,47.14,61.36,23.813784175253154,21.339414796219057,1.2853564125903139,1.6154199841116479,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OKE,Yes
ORCL,Oracle Corp.,Information Technology,3.867862109642376,2.9861868607104594,1.5551463,2.2,40.01,53.14,26.033029196183648,23.52934977838043,1.8335673136385764,1.5173226235262949,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ORCL,Yes
PCAR,PACCAR Inc.,Industrials,4.21921354426797,2.8166056076565553,1.455816,4.75,61.93,79.69,23.907637290769493,22.00951884416238,0.8272103067890944,1.4036429994545037,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCAR,Yes
PKG,Packaging Corporation of America,Materials,4.726945242914012,2.9739977814079848,2.1514556,7.07,88.47,131.1316,23.12581154776711,20.917927606648085,1.008513240633707,1.8779371654691073,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PKG,Yes
PH,Parker-Hannifin,Industrials,5.167696021339599,3.1179499062782403,1.4401833,7.24,145.38,212.8,23.91873662884771,21.46142892574318,1.0526613301371253,1.6845453849209058,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PH,Yes
PDCO,Patterson Companies,Health Care,3.522824869783854,2.711377991194885,3.0723782,1.79,32.07,48.295,21.889472099411304,19.700625214032865,0.5806944634807248,1.205970806988609,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PDCO,Yes
PAYX,Paychex Inc.,Information Technology,4.140910031369422,3.3495531485098167,3.0892801,2.26,54.2,73.1,23.869728668845575,21.070324694872944,2.110029789588471,2.547098670044448,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PAYX,Yes
PYPL,PayPal,Information Technology,4.294833422971505,3.9225672193038172,0.0,1.47,39.92,86.32,25.230911393055475,21.79895062131188,2.071371062797248,1.918392120161421,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PYPL,No
PNR,Pentair Ltd.,Industrials,4.2146429502441345,2.9902170928658807,2.03933,3.63,57.63,74.84,23.246323789570337,20.576736045408325,1.2582198241683218,1.247032293786383,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNR,Yes
PBCT,People's United Financial,Financials,2.9734866646066713,2.9454910571172443,3.59375,0.97,15.965,20.14,22.59930762950183,0.0,1.594785163322395,0.7747271675523681,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PBCT,Yes
PKI,PerkinElmer,Health Care,4.291281021367136,3.2457124788217606,0.3695394,2.64,52.63,84.49,22.845739002396726,19.91506240193083,1.550037379864635,1.4469189829363254,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PKI,Yes
